author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Александр Козак;realtor;https://www.cian.ru/sale/flat/315596022/;Москва;sale;flat;9;39;2;70.0;42000000;Раменки; Лобачевского;120к1;Аминьевская;Крылья
Владис;real_estate_agent;https://www.cian.ru/sale/flat/315595888/;Москва;sale;flat;24;25;1;46.5;15200000;; Саларьевская;14к2;Саларьево;Саларьево парк
Владис;real_estate_agent;https://www.cian.ru/sale/flat/315595887/;Москва;sale;flat;8;22;1;32.5;11300000;; Большое Понизовье;8;Филатов Луг;Саларьево парк
Центр Дистанционных Торгов (ЦДТ);real_estate_agent;https://www.cian.ru/sale/flat/315595749/;Москва;sale;flat;18;18;1;75.4;7406708;Лефортово;проезд Шелихова;9к1;Площадь Ильича;проезд Шелихова, 9к1
Елизавета Гулевская;realtor;https://www.cian.ru/sale/flat/315595746/;Москва;sale;flat;2;14;1;38.6;14500000;Филевский парк;Кастанаевская ;12к1;Багратионовская;
ID 105191275;homeowner;https://www.cian.ru/sale/flat/315595339/;Москва;sale;flat;21;31;2;54.0;14000000;Южное Бутово; Поляны;5;Улица Скобелевская;Эталон-Сити
ID 110977526;homeowner;https://www.cian.ru/sale/flat/315595069/;Москва;sale;flat;17;18;2;58.0;37000000;Покровское-Стрешнево;бульвар Небесный;1к1;Спартак;ÁLIA
Агентство недвижимости Сергея Галлера;real_estate_agent;https://www.cian.ru/sale/flat/315594413/;Москва;sale;flat;6;13;2;59.5;19000000;Новогиреево;Перовская ;66к8;Новогиреево;Большое Кусково
Лариса Поликарпова;realtor;https://www.cian.ru/sale/flat/315593663/;Москва;sale;flat;5;15;2;60.0;37500000;Басманный; Новая Дорога;11БС2;Электрозаводская;
ID 114481867;homeowner;https://www.cian.ru/sale/flat/315593250/;Москва;sale;flat;5;17;2;52.0;11800000;Некрасовка;Рождественская ;14;Некрасовка;
Владис;real_estate_agent;https://www.cian.ru/sale/flat/315593188/;Москва;sale;flat;10;22;1;45.0;19000000;Обручевский; Новаторов;38К3;Новаторская;
Городская недвижимость.;real_estate_agent;https://www.cian.ru/sale/flat/315592992/;Москва;sale;flat;9;21;1;25.8;8500000;; Бачуринская;11;Коммунарка;Новая Звезда
ID 57640791;homeowner;https://www.cian.ru/sale/flat/315592932/;Москва;sale;flat;3;12;1;44.3;13600000;Люблино;Совхозная ;10А;Люблино;
Владис;real_estate_agent;https://www.cian.ru/sale/flat/315592760/;Москва;sale;flat;16;38;1;42.5;20000000;Западное Дегунино;Ильменский проезд;14к8;Селигерская;Селигер Сити
CENTURY 21 Level;real_estate_agent;https://www.cian.ru/sale/flat/315591653/;Москва;sale;flat;2;24;2;76.3;57230000;Раменки;Мичуринский проспект;3;Ломоносовский проспект;Квартал Шуваловский
ID 608105;unknown;https://www.cian.ru/sale/flat/315591147/;Москва;sale;flat;9;23;1;40.1;21900000;Рязанский;2-й Грайвороновский проезд;44к1;Стахановская;Кварталы 21/19
ID 129388736;homeowner;https://www.cian.ru/sale/flat/315591030/;Москва;sale;flat;19;25;1;35.0;11360000;Новокосино;Новокосинская ;13К2;Новокосино;
Сергей Зуев;realtor;https://www.cian.ru/sale/flat/315590971/;Москва;sale;flat;3;19;2;59.0;18700000;Очаково-Матвеевское; Малая Очаковская;7;Озёрная;Мичуринский парк
ID 6226816;realtor;https://www.cian.ru/sale/flat/315590693/;Москва;sale;flat;3;20;1;42.0;16500000;Чертаново Южное;Варшавское шоссе;139;Улица Академика Янгеля;
ID 13355183;realtor;https://www.cian.ru/sale/flat/315590633/;Москва;sale;flat;3;17;2;50.3;24000000;Пресненский;Шелепихинское шоссе;19;Шелепиха;
ID 129250038;homeowner;https://www.cian.ru/sale/flat/315590591/;Москва;sale;flat;1;17;1;36.5;11200000;Ново-Переделкино;Боровское шоссе;20К1;Боровское шоссе;
БЕСТ-Недвижимость на Баррикадной;real_estate_agent;https://www.cian.ru/sale/flat/315590272/;Москва;sale;flat;2;17;1;33.8;11090000;; Александры Монаховой;83;Потапово;Бунинские луга
ID 46672751;homeowner;https://www.cian.ru/sale/flat/315590219/;Москва;sale;flat;6;17;1;37.3;12000000;; Авиаконструктора Петлякова;7;Пыхтино;Солнцево парк
ГОРОБМЕН;real_estate_agent;https://www.cian.ru/sale/flat/315590152/;Москва;sale;flat;4;9;2;47.6;15999000;Люблино;Краснодарская ;48;Люблино;
BIRuSA estate;real_estate_agent;https://www.cian.ru/sale/flat/315589484/;Москва;sale;flat;19;44;2;70.9;52700000;Пресненский;Ходынская ;2;Улица 1905 года;Пресня Сити
Лилия Ильина;realtor;https://www.cian.ru/sale/flat/315589481/;Москва;sale;flat;10;21;1;43.0;14500000;; Бачуринская;7к1;Коммунарка;Новая Звезда
ID 124931536;homeowner;https://www.cian.ru/sale/flat/315588382/;Москва;sale;flat;2;23;1;49.0;19000000;Очаково-Матвеевское;Веерная ;4к2;Матвеевская;
ID 87380386;homeowner;https://www.cian.ru/sale/flat/315588224/;Москва;sale;flat;17;17;2;51.0;17900000;Братеево; Борисовские Пруды;14К5;Борисово;
EstateLiga;real_estate_agent;https://www.cian.ru/sale/flat/315588149/;Москва;sale;flat;36;37;2;53.6;24300000;Хорошевский;Хорошевское шоссе;12к1;Беговая;Дом на Беговой
ID 96583846;realtor;https://www.cian.ru/sale/flat/315588039/;Москва;sale;flat;7;15;2;51.2;15000000;Ховрино;Зеленоградская ;25К4;Грачёвская;
LaRichesse;real_estate_agent;https://www.cian.ru/sale/flat/315587964/;Москва;sale;flat;15;25;1;40.3;23600000;Обручевский;;7;Воронцовская;Афи Парк Воронцовский ЖК
ID 116027166;homeowner;https://www.cian.ru/sale/flat/315587237/;Москва;sale;flat;14;17;2;53.5;17100000;Северное Бутово; Знаменские Садки;1К2;Улица Старокачаловская;
ID 897823;homeowner;https://www.cian.ru/sale/flat/315587142/;Москва;sale;flat;12;32;1;45.0;15100000;Восточное Дегунино;Дубнинская ;40АК1;Лианозово;Северный город
ID 114089835;realtor;https://www.cian.ru/sale/flat/315587018/;Москва;sale;flat;7;17;1;38.0;15500000;Свиблово;Снежная ;17К2;Свиблово;
ID 47578877;homeowner;https://www.cian.ru/sale/flat/315587014/;Москва;sale;flat;10;22;1;45.0;19000000;Обручевский; Новаторов;38К3;Новаторская;
ID 87404621;homeowner;https://www.cian.ru/sale/flat/315586921/;Москва;sale;flat;2;17;1;33.8;11090000;; Александры Монаховой;83;Потапово;Бунинские луга
ID 117326743;homeowner;https://www.cian.ru/sale/flat/315586879/;Москва;sale;flat;25;33;2;52.5;19600000;Очаково-Матвеевское; Малая Очаковская;4Ак1;Озёрная;Мичуринский парк
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/315586798/;Москва;sale;flat;5;23;2;78.0;47500000;Обручевский;Профсоюзная ;68к3;Новые Черёмушки;Родной город. Воронцовский парк
ID 103050204;homeowner;https://www.cian.ru/sale/flat/315586722/;Москва;sale;flat;5;22;1;39.0;13400000;Марьино;Люблинская ;112;Марьино;
ID 59471142;homeowner;https://www.cian.ru/sale/flat/315586719/;Москва;sale;flat;12;48;2;55.7;29900000;Ростокино; Вильгельма Пика;1;Ботанический сад;Режиссёр
ID 105617508;homeowner;https://www.cian.ru/sale/flat/315586541/;Москва;sale;flat;31;32;2;44.0;20500000;Нижегородский;Газгольдерная ;10;Нижегородская;Profit
Надежда Сизухина;realtor;https://www.cian.ru/sale/flat/315586157/;Москва;sale;flat;15;22;1;40.0;14200000;Савеловский;Полтавская ;47К2;Петровский Парк;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/315585716/;Москва;sale;flat;8;35;1;33.5;15100000;Очаково-Матвеевское;Очаково мкр;2к3;Аминьевская;Большая Очаковская 2 ЖК
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/315585715/;Москва;sale;flat;4;23;2;45.7;23000000;Лефортово;Красноказарменная ;14Ак2;Авиамоторная;Пётр I
ID 30197583;realtor;https://www.cian.ru/sale/flat/315585680/;Москва;sale;flat;9;24;1;38.0;23000000;Останкинский; Годовикова;11к4;Алексеевская;iLove
